,Star_name,Distance,Mass,Radius
447,Altair,0017,1.8,1.8
448,Acrux,0320,18,8.9
449,Aldebaran,0065,1.5,44
450,Antares,0600,12,680
451,Spica,0260,11.43,7.47
452,Pollux,0034,1.9,8.8
453,Fomalhaut,0025,1.9,1.8
454,Deneb,"2,600",19,203
455,Mimosa,0350,16,8.4
456,Regulus,0077,3.8,3.1
457,Adhara,0430,12.5,14
458,Shaula,0700,14.5,8.8
459,Castor,0052,2.8,2.4
460,Gacrux,0088,1.5,84
461,Bellatrix,0240,8.6,5.8
462,Elnath,0130,5.0,4.2
463,Miaplacidus,0110,3.5,6.8
464,Alnilam,"2,000",32,42
465,Sun,0.000015813,1,1
466,Sirius,0008.6,2.1,1.71
467,Canopus,0310,15,71
468,Alpha Centauri,0004.4,1.1,1.2
469,Arcturus,0037,1.1,26
470,Vega,0025,2.2,2.7
471,Capella,0043,2.6,12
472,Rigel,0860,23,78.9
473,Procyon,0011.4,1.5,1.9
474,Betelgeuse,0640[1],20,950
475,Achernar,0144,6.7,9.3
476,Hadar,0390,10.5,8.6
477,Altair,0017,1.8,1.8
478,Acrux,0320,18,8.9
479,Aldebaran,0065,1.5,44
480,Antares,0600,12,680
481,Spica,0260,11.43,7.47
482,Pollux,0034,1.9,8.8
483,Fomalhaut,0025,1.9,1.8
484,Deneb,"2,600",19,203
485,Mimosa,0350,16,8.4
486,Regulus,0077,3.8,3.1
487,Adhara,0430,12.5,14
488,Shaula,0700,14.5,8.8
489,Castor,0052,2.8,2.4
490,Gacrux,0088,1.5,84
491,Bellatrix,0240,8.6,5.8
492,Elnath,0130,5.0,4.2
493,Miaplacidus,0110,3.5,6.8
494,Alnilam,"2,000",32,42
495,Gamma Velorum,"01,100",9.0,6
496,Sun,0.000015813,1,1
497,Sirius,0008.6,2.1,1.71
498,Canopus,0310,15,71
499,Alpha Centauri,0004.4,1.1,1.2
500,Arcturus,0037,1.1,26
501,Vega,0025,2.2,2.7
502,Capella,0043,2.6,12
503,Rigel,0860,23,78.9
504,Procyon,0011.4,1.5,1.9
505,Betelgeuse,0640[1],20,950
506,Achernar,0144,6.7,9.3
507,Hadar,0390,10.5,8.6
508,Altair,0017,1.8,1.8
509,Acrux,0320,18,8.9
510,Aldebaran,0065,1.5,44
511,Antares,0600,12,680
512,Spica,0260,11.43,7.47
513,Pollux,0034,1.9,8.8
514,Fomalhaut,0025,1.9,1.8
515,Deneb,"2,600",19,203
516,Mimosa,0350,16,8.4
517,Regulus,0077,3.8,3.1
518,Adhara,0430,12.5,14
519,Shaula,0700,14.5,8.8
520,Castor,0052,2.8,2.4
521,Gacrux,0088,1.5,84
522,Bellatrix,0240,8.6,5.8
523,Elnath,0130,5.0,4.2
524,Miaplacidus,0110,3.5,6.8
525,Alnilam,"2,000",32,42
526,Gamma Velorum,"01,100",9.0,6
527,Alnair,0101,4.0,3.4
528,Sun,0.000015813,1,1
529,Sirius,0008.6,2.1,1.71
530,Canopus,0310,15,71
531,Alpha Centauri,0004.4,1.1,1.2
532,Arcturus,0037,1.1,26
533,Vega,0025,2.2,2.7
534,Capella,0043,2.6,12
535,Rigel,0860,23,78.9
536,Procyon,0011.4,1.5,1.9
537,Betelgeuse,0640[1],20,950
538,Achernar,0144,6.7,9.3
539,Hadar,0390,10.5,8.6
540,Altair,0017,1.8,1.8
541,Acrux,0320,18,8.9
542,Aldebaran,0065,1.5,44
543,Antares,0600,12,680
544,Spica,0260,11.43,7.47
545,Pollux,0034,1.9,8.8
546,Fomalhaut,0025,1.9,1.8
547,Deneb,"2,600",19,203
548,Mimosa,0350,16,8.4
549,Regulus,0077,3.8,3.1
550,Adhara,0430,12.5,14
551,Shaula,0700,14.5,8.8
552,Castor,0052,2.8,2.4
553,Gacrux,0088,1.5,84
554,Bellatrix,0240,8.6,5.8
555,Elnath,0130,5.0,4.2
556,Miaplacidus,0110,3.5,6.8
557,Alnilam,"2,000",32,42
558,Gamma Velorum,"01,100",9.0,6
559,Alnair,0101,4.0,3.4
560,Alioth,0081,2.9,4.2
561,Sun,0.000015813,1,1
562,Sirius,0008.6,2.1,1.71
563,Canopus,0310,15,71
564,Alpha Centauri,0004.4,1.1,1.2
565,Arcturus,0037,1.1,26
566,Vega,0025,2.2,2.7
567,Capella,0043,2.6,12
568,Rigel,0860,23,78.9
569,Procyon,0011.4,1.5,1.9
570,Betelgeuse,0640[1],20,950
571,Achernar,0144,6.7,9.3
572,Hadar,0390,10.5,8.6
573,Altair,0017,1.8,1.8
574,Acrux,0320,18,8.9
575,Aldebaran,0065,1.5,44
576,Antares,0600,12,680
577,Spica,0260,11.43,7.47
578,Pollux,0034,1.9,8.8
579,Fomalhaut,0025,1.9,1.8
580,Deneb,"2,600",19,203
581,Mimosa,0350,16,8.4
582,Regulus,0077,3.8,3.1
583,Adhara,0430,12.5,14
584,Shaula,0700,14.5,8.8
585,Castor,0052,2.8,2.4
586,Gacrux,0088,1.5,84
587,Bellatrix,0240,8.6,5.8
588,Elnath,0130,5.0,4.2
589,Miaplacidus,0110,3.5,6.8
590,Alnilam,"2,000",32,42
591,Gamma Velorum,"01,100",9.0,6
592,Alnair,0101,4.0,3.4
593,Alioth,0081,2.9,4.2
594,Alnitak,01050,33,20
595,Sun,0.000015813,1,1
596,Sirius,0008.6,2.1,1.71
597,Canopus,0310,15,71
598,Alpha Centauri,0004.4,1.1,1.2
599,Arcturus,0037,1.1,26
600,Vega,0025,2.2,2.7
601,Capella,0043,2.6,12
602,Rigel,0860,23,78.9
603,Procyon,0011.4,1.5,1.9
604,Betelgeuse,0640[1],20,950
605,Achernar,0144,6.7,9.3
606,Hadar,0390,10.5,8.6
607,Altair,0017,1.8,1.8
608,Acrux,0320,18,8.9
609,Aldebaran,0065,1.5,44
610,Antares,0600,12,680
611,Spica,0260,11.43,7.47
612,Pollux,0034,1.9,8.8
613,Fomalhaut,0025,1.9,1.8
614,Deneb,"2,600",19,203
615,Mimosa,0350,16,8.4
616,Regulus,0077,3.8,3.1
617,Adhara,0430,12.5,14
618,Shaula,0700,14.5,8.8
619,Castor,0052,2.8,2.4
620,Gacrux,0088,1.5,84
621,Bellatrix,0240,8.6,5.8
622,Elnath,0130,5.0,4.2
623,Miaplacidus,0110,3.5,6.8
624,Alnilam,"2,000",32,42
625,Gamma Velorum,"01,100",9.0,6
626,Alnair,0101,4.0,3.4
627,Alioth,0081,2.9,4.2
628,Alnitak,01050,33,20
629,Dubhe,0120,4.25,30
630,Sun,0.000015813,1,1
631,Sirius,0008.6,2.1,1.71
632,Canopus,0310,15,71
633,Alpha Centauri,0004.4,1.1,1.2
634,Arcturus,0037,1.1,26
635,Vega,0025,2.2,2.7
636,Capella,0043,2.6,12
637,Rigel,0860,23,78.9
638,Procyon,0011.4,1.5,1.9
639,Betelgeuse,0640[1],20,950
640,Achernar,0144,6.7,9.3
641,Hadar,0390,10.5,8.6
642,Altair,0017,1.8,1.8
643,Acrux,0320,18,8.9
644,Aldebaran,0065,1.5,44
645,Antares,0600,12,680
646,Spica,0260,11.43,7.47
647,Pollux,0034,1.9,8.8
648,Fomalhaut,0025,1.9,1.8
649,Deneb,"2,600",19,203
650,Mimosa,0350,16,8.4
651,Regulus,0077,3.8,3.1
652,Adhara,0430,12.5,14
653,Shaula,0700,14.5,8.8
654,Castor,0052,2.8,2.4
655,Gacrux,0088,1.5,84
656,Bellatrix,0240,8.6,5.8
657,Elnath,0130,5.0,4.2
658,Miaplacidus,0110,3.5,6.8
659,Alnilam,"2,000",32,42
660,Gamma Velorum,"01,100",9.0,6
661,Alnair,0101,4.0,3.4
662,Alioth,0081,2.9,4.2
663,Alnitak,01050,33,20
664,Dubhe,0120,4.25,30
665,Mirfak,0590,8.5,68
666,Sun,0.000015813,1,1
667,Sirius,0008.6,2.1,1.71
668,Canopus,0310,15,71
669,Alpha Centauri,0004.4,1.1,1.2
670,Arcturus,0037,1.1,26
671,Vega,0025,2.2,2.7
672,Capella,0043,2.6,12
673,Rigel,0860,23,78.9
674,Procyon,0011.4,1.5,1.9
675,Betelgeuse,0640[1],20,950
676,Achernar,0144,6.7,9.3
677,Hadar,0390,10.5,8.6
678,Altair,0017,1.8,1.8
679,Acrux,0320,18,8.9
680,Aldebaran,0065,1.5,44
681,Antares,0600,12,680
682,Spica,0260,11.43,7.47
683,Pollux,0034,1.9,8.8
684,Fomalhaut,0025,1.9,1.8
685,Deneb,"2,600",19,203
686,Mimosa,0350,16,8.4
687,Regulus,0077,3.8,3.1
688,Adhara,0430,12.5,14
689,Shaula,0700,14.5,8.8
690,Castor,0052,2.8,2.4
691,Gacrux,0088,1.5,84
692,Bellatrix,0240,8.6,5.8
693,Elnath,0130,5.0,4.2
694,Miaplacidus,0110,3.5,6.8
695,Alnilam,"2,000",32,42
696,Gamma Velorum,"01,100",9.0,6
697,Alnair,0101,4.0,3.4
698,Alioth,0081,2.9,4.2
699,Alnitak,01050,33,20
700,Dubhe,0120,4.25,30
701,Mirfak,0590,8.5,68
702,Wezen,"1,600",17,200
703,Sun,0.000015813,1,1
704,Sirius,0008.6,2.1,1.71
705,Canopus,0310,15,71
706,Alpha Centauri,0004.4,1.1,1.2
707,Arcturus,0037,1.1,26
708,Vega,0025,2.2,2.7
709,Capella,0043,2.6,12
710,Rigel,0860,23,78.9
711,Procyon,0011.4,1.5,1.9
712,Betelgeuse,0640[1],20,950
713,Achernar,0144,6.7,9.3
714,Hadar,0390,10.5,8.6
715,Altair,0017,1.8,1.8
716,Acrux,0320,18,8.9
717,Aldebaran,0065,1.5,44
718,Antares,0600,12,680
719,Spica,0260,11.43,7.47
720,Pollux,0034,1.9,8.8
721,Fomalhaut,0025,1.9,1.8
722,Deneb,"2,600",19,203
723,Mimosa,0350,16,8.4
724,Regulus,0077,3.8,3.1
725,Adhara,0430,12.5,14
726,Shaula,0700,14.5,8.8
727,Castor,0052,2.8,2.4
728,Gacrux,0088,1.5,84
729,Bellatrix,0240,8.6,5.8
730,Elnath,0130,5.0,4.2
731,Miaplacidus,0110,3.5,6.8
732,Alnilam,"2,000",32,42
733,Gamma Velorum,"01,100",9.0,6
734,Alnair,0101,4.0,3.4
735,Alioth,0081,2.9,4.2
736,Alnitak,01050,33,20
737,Dubhe,0120,4.25,30
738,Mirfak,0590,8.5,68
739,Wezen,"1,600",17,200
740,Sargas,0270,5.7,26
741,Sun,0.000015813,1,1
742,Sirius,0008.6,2.1,1.71
743,Canopus,0310,15,71
744,Alpha Centauri,0004.4,1.1,1.2
745,Arcturus,0037,1.1,26
746,Vega,0025,2.2,2.7
747,Capella,0043,2.6,12
748,Rigel,0860,23,78.9
749,Procyon,0011.4,1.5,1.9
750,Betelgeuse,0640[1],20,950
751,Achernar,0144,6.7,9.3
752,Hadar,0390,10.5,8.6
753,Altair,0017,1.8,1.8
754,Acrux,0320,18,8.9
755,Aldebaran,0065,1.5,44
756,Antares,0600,12,680
757,Spica,0260,11.43,7.47
758,Pollux,0034,1.9,8.8
759,Fomalhaut,0025,1.9,1.8
760,Deneb,"2,600",19,203
761,Mimosa,0350,16,8.4
762,Regulus,0077,3.8,3.1
763,Adhara,0430,12.5,14
764,Shaula,0700,14.5,8.8
765,Castor,0052,2.8,2.4
766,Gacrux,0088,1.5,84
767,Bellatrix,0240,8.6,5.8
768,Elnath,0130,5.0,4.2
769,Miaplacidus,0110,3.5,6.8
770,Alnilam,"2,000",32,42
771,Gamma Velorum,"01,100",9.0,6
772,Alnair,0101,4.0,3.4
773,Alioth,0081,2.9,4.2
774,Alnitak,01050,33,20
775,Dubhe,0120,4.25,30
776,Mirfak,0590,8.5,68
777,Wezen,"1,600",17,200
778,Sargas,0270,5.7,26
779,Kaus Australis,0140,3.5,6.8
780,Sun,0.000015813,1,1
781,Sirius,0008.6,2.1,1.71
782,Canopus,0310,15,71
783,Alpha Centauri,0004.4,1.1,1.2
784,Arcturus,0037,1.1,26
785,Vega,0025,2.2,2.7
786,Capella,0043,2.6,12
787,Rigel,0860,23,78.9
788,Procyon,0011.4,1.5,1.9
789,Betelgeuse,0640[1],20,950
790,Achernar,0144,6.7,9.3
791,Hadar,0390,10.5,8.6
